Fighter_Name,Height,Weight,Reach,Stance,DOB,Wins,Losses,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Fighter_URL,Height_cm
Chris Horodecki,"5' 9""",155 lbs.,"69.0""",Orthodox,1987-09-24,21,7,1,4.59,41%,3.16,65%,1.52,55%,37%,0.9,http://ufcstats.com/fighter-details/e29cf523ebd155c5,175.3
Jamey-Lyn Horth,"5' 7""",125 lbs.,"66.0""",Orthodox,1990-03-30,9,2,0,3.63,55%,2.5,63%,1.17,42%,79%,0.2,http://ufcstats.com/fighter-details/5c637af9472ae7cc,170.2
Matt Horwich,"6' 1""",185 lbs.,,Orthodox,1978-10-02,30,25,1,1.11,62%,2.16,38%,0.33,9%,28%,2.7,http://ufcstats.com/fighter-details/049d698d773eb3e1,185.4
John Hosman,"5' 10""",135 lbs.,,Southpaw,1980-11-13,18,8,1,1.11,38%,1.52,45%,0.0,0%,46%,0.0,http://ufcstats.com/fighter-details/57591bbf1623574e,177.8
Saeed Hosseini,,,,,,0,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/21f2974fd08085e3,
Jeff Hougland,"5' 7""",135 lbs.,"68.0""",Orthodox,1978-08-02,10,6,0,1.86,48%,3.46,47%,0.86,18%,0%,1.1,http://ufcstats.com/fighter-details/97a8f39186f489db,170.2
Trey Houston,"5' 11""",185 lbs.,,,1988-06-08,11,4,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/c6668eeb261588d3,180.3
Jamie Houston,,185 lbs.,,,,3,0,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/4b1896310a907656,
Brian Houston,"6' 2""",185 lbs.,,Orthodox,1981-04-26,4,6,0,1.9,35%,3.67,53%,0.95,100%,87%,0.0,http://ufcstats.com/fighter-details/36fbaa49a09ff997,188.0
Harold Howard,"6' 2""",240 lbs.,,Orthodox,,1,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/a2b06ca02bca14c0,188.0
John Howard,"5' 7""",170 lbs.,"72.0""",Orthodox,1983-03-01,24,13,0,2.15,50%,3.08,51%,2.7,49%,53%,0.4,http://ufcstats.com/fighter-details/fc31f896cde2bc2e,170.2
Shane Howell,"5' 8""",125 lbs.,,Orthodox,1983-11-28,13,10,0,1.27,32%,2.55,42%,0.0,0%,20%,0.0,http://ufcstats.com/fighter-details/a7de976620f2ed13,172.7
Hu Yaozong,"6' 3""",185 lbs.,"72.0""",Orthodox,1995-04-07,3,3,0,3.35,48%,5.09,35%,0.0,0%,33%,0.4,http://ufcstats.com/fighter-details/f1175ea3aafbf351,190.5
Carlos Huachin,"5' 4""",135 lbs.,"67.0""",Southpaw,1996-06-04,10,5,1,2.1,21%,4.8,50%,0.0,0%,66%,0.0,http://ufcstats.com/fighter-details/225def29ecfe0fc1,162.6
Brady Huang,"5' 9""",135 lbs.,"69.0""",Orthodox,1992-12-16,11,2,0,4.62,37%,10.77,30%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/1ec1b6a7a29ffc71,175.3
Yuele Huang,,145 lbs.,,,2000-07-04,13,0,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/1c8b9f4d89b92e1b,
Huang Feier,"5' 5""",115 lbs.,"65.0""",Orthodox,1994-03-12,14,8,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/e71c75f533a30daa,165.1
Austin Hubbard,"5' 10""",155 lbs.,"71.0""",Orthodox,1991-12-22,17,10,0,3.97,42%,4.1,55%,1.63,28%,68%,0.1,http://ufcstats.com/fighter-details/d2cd7a69cc55e7ed,177.8
Collin Huckbody,"6' 3""",185 lbs.,"76.0""",Orthodox,1994-09-29,8,2,0,2.05,60%,2.73,42%,10.23,100%,0%,20.4,http://ufcstats.com/fighter-details/f372a848d250e006,190.5
Alex Huddleston,"6' 7""",254 lbs.,,,1986-08-11,6,2,0,2.47,42%,2.59,67%,0.0,0%,0%,0.9,http://ufcstats.com/fighter-details/8b9197746bd3e005,200.7
Roger Huerta,"5' 9""",155 lbs.,"70.0""",Orthodox,1983-05-20,23,9,1,3.64,36%,2.33,56%,2.13,46%,52%,0.5,http://ufcstats.com/fighter-details/daf1b84aebd6602b,175.3
Casey Huffman,"6' 3""",185 lbs.,,,,3,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/737d93a42b8c2e94,190.5
Matt Hughes,"5' 9""",170 lbs.,"73.0""",Switch,1973-10-13,45,9,0,2.14,53%,1.36,53%,2.95,50%,35%,1.2,http://ufcstats.com/fighter-details/621a6c59f88a44fe,175.3
Mark Hughes,"5' 9""",205 lbs.,,Southpaw,1973-10-13,6,2,0,0.9,47%,0.4,42%,3.0,50%,0%,4.5,http://ufcstats.com/fighter-details/d62bb4d84a7267ba,175.3
Jeff Hughes,"6' 2""",250 lbs.,"77.0""",Orthodox,1988-05-17,10,4,0,3.95,51%,3.67,60%,0.71,50%,45%,0.0,http://ufcstats.com/fighter-details/6a11e325aa60ad02,188.0
Sam Hughes,"5' 5""",115 lbs.,"64.0""",Orthodox,1992-06-28,11,6,0,4.34,46%,4.44,58%,1.23,35%,60%,0.2,http://ufcstats.com/fighter-details/e94085e821bd81de,165.1
Victor Hugo,"5' 7""",135 lbs.,"71.0""",Orthodox,1992-11-22,25,5,0,3.27,44%,2.95,56%,0.81,33%,73%,1.2,http://ufcstats.com/fighter-details/f264ba50b007f39e,170.2
David Hulett,"5' 10""",170 lbs.,,,1980-09-07,22,10,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/b0718335e9868cfd,177.8
Dominik Humburger,,185 lbs.,,,1996-01-03,8,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/e4cbc82c36e47299,
Bryan Humes,,265 lbs.,,,,6,2,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/b9c75e7fc910f587,
Abongo Humphrey,"5' 11""",205 lbs.,,Orthodox,1977-05-27,7,3,0,1.45,40%,3.83,46%,1.41,37%,33%,3.8,http://ufcstats.com/fighter-details/cb1b4d237b0079e6,180.3
Harry Hunsucker,"6' 2""",205 lbs.,"75.0""",Orthodox,1989-01-03,7,6,0,3.54,52%,6.53,42%,0.0,0%,0%,2.0,http://ufcstats.com/fighter-details/f703250471acaf96,188.0
Mark Hunt,"5' 10""",265 lbs.,"72.0""",Orthodox,1974-03-23,13,14,1,2.81,43%,2.9,51%,0.51,55%,64%,0.2,http://ufcstats.com/fighter-details/eef9b891edbd4604,177.8
Alex Hunter,"5' 9""",226 lbs.,,Orthodox,,2,0,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/baa5358456803df8,175.3
Adam Hunter,"6' 1""",185 lbs.,,Orthodox,1983-10-16,7,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/edc9eb3051f444fa,185.4
Joe Hurley,"5' 8""",155 lbs.,,,1978-06-24,12,5,0,1.12,45%,3.35,56%,0.0,0%,20%,0.0,http://ufcstats.com/fighter-details/21b54430c8eeb9cc,172.7
Solomon Hutcherson,"5' 11""",185 lbs.,,Southpaw,1972-08-31,11,7,0,2.59,39%,2.59,64%,3.53,100%,0%,0.0,http://ufcstats.com/fighter-details/155bfc7ed36622df,180.3
Young Hwang,"5' 9""",135 lbs.,,,1988-09-02,8,5,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/8588d14c4952b9fa,175.3
In Su Hwang,"5' 11""",185 lbs.,"74.0""",Orthodox,1994-01-18,8,2,0,2.47,46%,6.2,44%,0.0,0%,50%,0.0,http://ufcstats.com/fighter-details/1c01d986283e6acb,180.3
Al Iaquinta,"5' 10""",155 lbs.,"70.0""",Orthodox,1987-04-30,14,7,1,4.06,40%,4.53,61%,0.63,18%,74%,0.2,http://ufcstats.com/fighter-details/59279a7c978f7da0,177.8
Khadis Ibragimov,"6' 3""",205 lbs.,"78.0""",Orthodox,1995-05-21,8,4,0,3.55,49%,4.26,47%,0.97,30%,80%,0.3,http://ufcstats.com/fighter-details/c3218c810959d279,190.5
Minoki Ichihara,"5' 7""",178 lbs.,,Orthodox,1968-06-30,0,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/4565d435005319c0,170.2
Alibi Idiris,"5' 6""",125 lbs.,"68.0""",Orthodox,1994-10-22,12,1,0,2.51,44%,2.64,60%,3.25,31%,66%,0.0,http://ufcstats.com/fighter-details/30cad5a751adcb48,167.6
Dan Ige,"5' 7""",145 lbs.,"71.0""",Orthodox,1991-08-06,19,11,0,3.6,45%,3.56,56%,0.93,26%,56%,0.2,http://ufcstats.com/fighter-details/82a5152216251682,170.2
Valeri Ignatov,"5' 9""",170 lbs.,,Orthodox,,1,2,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/7b6ce3a9460565b5,175.3
Sergey Ignatov,"5' 9""",210 lbs.,,Orthodox,1971-10-13,0,1,0,0.35,50%,3.25,42%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/df9e9c1f65805d29,175.3
Fabiano Iha,"5' 8""",155 lbs.,,Orthodox,1970-07-28,9,5,0,1.73,47%,2.49,42%,2.88,40%,50%,2.9,http://ufcstats.com/fighter-details/263ebd4a669e1e98,172.7
Seichi Ikemoto,"5' 11""",168 lbs.,,Orthodox,1975-08-24,21,19,5,2.59,32%,3.74,57%,1.23,26%,60%,0.0,http://ufcstats.com/fighter-details/81f38d1640c4e70d,180.3
Mikhail Iloukhine,"5' 9""",205 lbs.,,Orthodox,1966-11-21,30,11,1,0.16,20%,2.95,26%,0.0,0%,0%,7.0,http://ufcstats.com/fighter-details/b71667c778b6d9e5,175.3
Zelim Imadaev,"6' 0""",170 lbs.,"76.0""",Orthodox,1995-01-25,8,3,0,2.91,36%,4.35,43%,0.38,50%,60%,0.0,http://ufcstats.com/fighter-details/7f0f171414d0a287,182.9
Yusuke Imamura,"5' 8""",220 lbs.,,Orthodox,1976-08-08,2,6,0,0.18,50%,1.83,52%,2.75,50%,0%,0.0,http://ufcstats.com/fighter-details/2ce6541127b0e232,172.7
Masakazu Imanari,"5' 4""",139 lbs.,,Southpaw,1976-02-10,36,16,2,0.55,30%,1.74,57%,0.0,0%,0%,2.1,http://ufcstats.com/fighter-details/a4dd5c9a75763295,162.6
Nassourdine Imavov,"6' 3""",185 lbs.,"75.0""",Orthodox,1996-03-01,17,4,0,4.28,54%,3.17,58%,0.74,32%,81%,1.0,http://ufcstats.com/fighter-details/881bf86d4cba8578,190.5
Brad Imes,"6' 7""",265 lbs.,,Orthodox,1977-03-13,13,7,0,2.73,31%,4.24,49%,1.72,71%,0%,1.0,http://ufcstats.com/fighter-details/4908c5ee68a50ee5,200.7
Michael Imperato,"5' 7""",135 lbs.,"66.0""",Switch,1989-09-01,12,7,0,1.93,48%,2.67,60%,1.0,12%,0%,1.0,http://ufcstats.com/fighter-details/59e52d56bab2b1ee,170.2
Rui Imura,"5' 10""",135 lbs.,"69.0""",Southpaw,1999-03-24,12,5,0,1.65,33%,4.19,33%,1.65,20%,0%,0.0,http://ufcstats.com/fighter-details/bb56173e2275e622,177.8
Chris Indich,"5' 10""",170 lbs.,,,1987-04-22,6,4,0,1.31,30%,4.32,43%,0.75,50%,50%,1.5,http://ufcstats.com/fighter-details/d5b7fac960e58920,177.8
Chris Inman,,,,,,1,0,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/f0a381ba65d2a933,
Guto Inocente,"6' 3""",205 lbs.,,Orthodox,1986-05-29,7,4,0,4.13,66%,2.92,54%,0.67,33%,66%,0.7,http://ufcstats.com/fighter-details/e7fe5315b1efeb92,190.5
Enson Inoue,"5' 10""",210 lbs.,,Orthodox,1967-04-15,12,8,0,1.7,63%,1.88,30%,0.0,0%,33%,0.0,http://ufcstats.com/fighter-details/0cf935519d439ba6,177.8
Egan Inoue,"5' 9""",190 lbs.,,Southpaw,1965-07-04,13,8,0,1.66,36%,3.31,57%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/37a6c95201592fea,175.3
Katsuya Inoue,"5' 9""",168 lbs.,,Southpaw,1979-08-10,19,9,4,3.41,24%,12.89,51%,0.0,0%,66%,0.0,http://ufcstats.com/fighter-details/b5882371e2a3900d,175.3
Takeshi Inoue,"5' 8""",145 lbs.,,,1980-03-18,23,10,0,2.54,44%,3.32,61%,0.0,0%,47%,0.0,http://ufcstats.com/fighter-details/a61a0cd2829e5d4e,172.7
Naoki Inoue,"5' 9""",125 lbs.,"71.0""",Orthodox,1997-06-14,11,1,0,3.67,35%,3.37,60%,0.0,0%,60%,2.5,http://ufcstats.com/fighter-details/199eb7cf6ae90294,175.3
Jorge Interiano,"6' 1""",205 lbs.,,,,4,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/1e75e6c9de99fa76,185.4
Jason Ireland,"5' 9""",161 lbs.,,Southpaw,1979-12-30,19,9,1,1.2,25%,2.07,51%,3.59,75%,0%,1.2,http://ufcstats.com/fighter-details/05a0556072931f01,175.3
James Irvin,"6' 2""",205 lbs.,"75.0""",Orthodox,1978-09-12,17,10,0,2.03,48%,3.86,35%,0.0,0%,36%,0.5,http://ufcstats.com/fighter-details/a7f4d0902bb64092,188.0
Eric Irvin,"5' 8""",155 lbs.,,,1986-01-10,11,4,0,3.27,42%,4.47,36%,4.0,30%,33%,0.0,http://ufcstats.com/fighter-details/a47c2a6e24757932,172.7
Issa Isakov,"5' 9""",155 lbs.,"70.0""",Orthodox,1989-10-22,10,3,0,1.93,36%,5.78,40%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/e9095aeb36f2aeb8,175.3
Mitsuhiro Ishida,"5' 6""",154 lbs.,,Southpaw,1978-12-29,20,8,1,1.46,41%,1.13,61%,4.76,53%,33%,0.7,http://ufcstats.com/fighter-details/82f5c81f4e3c3eb5,167.6
Teruto Ishihara,"5' 7""",135 lbs.,"69.0""",Southpaw,1991-07-23,10,7,2,3.26,44%,3.63,53%,0.5,16%,30%,0.0,http://ufcstats.com/fighter-details/88cd34d836b4ebcd,170.2
Satoshi Ishii,"5' 11""",240 lbs.,,Orthodox,1986-12-19,15,8,1,1.41,36%,1.58,63%,3.47,52%,100%,1.6,http://ufcstats.com/fighter-details/c8a49ff2acb6f3c5,180.3
Yuki Ishikawa,"5' 11""",205 lbs.,,Orthodox,1967-02-08,0,2,0,1.07,28%,8.57,11%,0.0,0%,50%,0.0,http://ufcstats.com/fighter-details/119ebea97e914dcf,180.3
Eiji Ishikawa,"5' 10""",170 lbs.,,,1979-10-12,29,24,3,1.2,29%,4.07,60%,1.0,9%,0%,0.0,http://ufcstats.com/fighter-details/eb89dc31949a1427,177.8
Tokimitsu Ishizawa,"6' 0""",185 lbs.,,Orthodox,1968-08-05,1,5,1,1.34,30%,2.99,59%,2.74,18%,0%,0.0,http://ufcstats.com/fighter-details/f3155a94ca420126,182.9
Damir Ismagulov,"5' 10""",155 lbs.,"74.0""",Orthodox,1991-02-03,24,3,0,3.36,42%,2.44,61%,1.0,28%,70%,0.0,http://ufcstats.com/fighter-details/135d124172a0bea3,177.8
Wallid Ismail,"5' 7""",205 lbs.,,Orthodox,1968-02-23,9,3,0,0.92,31%,0.83,44%,1.85,28%,0%,0.5,http://ufcstats.com/fighter-details/da6dfd09cca1d705,170.2
Leandro Issa,"5' 7""",135 lbs.,"69.0""",Orthodox,1983-09-19,13,6,0,2.08,37%,3.17,58%,2.38,22%,50%,1.2,http://ufcstats.com/fighter-details/d1e1fdcea7c8a90a,170.2
Kuya Ito,"5' 5""",135 lbs.,"66.0""",Orthodox,1996-10-07,17,9,1,3.4,39%,3.13,55%,0.0,0%,62%,1.0,http://ufcstats.com/fighter-details/f647247f0d9f3b50,165.1
Blagoy Ivanov,"5' 11""",250 lbs.,"73.0""",Southpaw,1986-10-09,19,6,0,3.25,40%,4.2,53%,0.69,40%,61%,0.1,http://ufcstats.com/fighter-details/1788eee370f077b7,180.3
Anthony Ivy,"6' 2""",185 lbs.,"74.0""",Orthodox,1990-01-23,8,4,0,2.5,42%,4.57,51%,4.69,20%,100%,0.0,http://ufcstats.com/fighter-details/3c5005b66696d790,188.0
Tomomi Iwama,"5' 3""",155 lbs.,,Orthodox,1977-02-07,9,6,2,1.0,20%,3.0,70%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/ac5f67109accb482,160.0
Tatsuya Iwasaki,"5' 9""",205 lbs.,,Orthodox,1969-06-20,0,1,0,0.79,100%,8.68,38%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/243b07fc65ccbb16,175.3
Taiga Iwasaki,"6' 1""",185 lbs.,"73.0""",Orthodox,1997-07-07,9,2,0,1.99,33%,7.08,32%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/5b08af4fbc987f9c,185.4
Saygid Izagakhmaev,"6' 0""",170 lbs.,"74.0""",,1994-09-03,22,3,0,1.33,58%,1.73,58%,4.0,40%,100%,0.0,http://ufcstats.com/fighter-details/de26d906f2874dd4,182.9
Yoislandy Izquierdo,"5' 11""",155 lbs.,,Southpaw,1984-01-09,10,4,0,2.93,52%,1.4,26%,0.0,0%,50%,0.0,http://ufcstats.com/fighter-details/afc2a7ce0c763bd5,180.3
Hiroshi Izumi,,205 lbs.,,Orthodox,1982-06-22,4,2,0,1.95,37%,2.65,66%,3.35,70%,100%,0.5,http://ufcstats.com/fighter-details/53e4e21f4c688801,
Yves Jabouin,"5' 7""",135 lbs.,"68.0""",Orthodox,1979-05-30,20,11,0,3.06,41%,2.93,62%,1.94,60%,82%,0.1,http://ufcstats.com/fighter-details/b4eeac608fc82f88,170.2
Kevin Jackson,"5' 10""",199 lbs.,,Switch,1964-11-25,4,2,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/13b2f59210dda9cc,177.8
Eugene Jackson,"5' 8""",185 lbs.,,Orthodox,1966-09-23,15,9,1,2.19,33%,3.44,32%,1.91,71%,16%,2.3,http://ufcstats.com/fighter-details/ce783bf73b5131f9,172.7
Quinton Jackson,"6' 1""",205 lbs.,"73.0""",Orthodox,1978-06-20,37,12,0,3.25,54%,2.51,55%,1.52,56%,73%,0.1,http://ufcstats.com/fighter-details/ffc088e64fab57e9,185.4
Jeremy Jackson,"5' 10""",170 lbs.,,Orthodox,1982-09-19,9,5,0,0.71,27%,2.03,25%,1.52,40%,58%,0.0,http://ufcstats.com/fighter-details/ad32471f01e7b1a5,177.8
Damon Jackson,"5' 11""",155 lbs.,"71.0""",Switch,1988-08-08,23,8,1,2.96,42%,3.47,49%,2.3,32%,37%,1.2,http://ufcstats.com/fighter-details/29af297d9f1de0f8,180.3
Kenyon Jackson,"6' 0""",185 lbs.,,,,4,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/56c5132870a526d5,182.9
Mike Jackson,"6' 2""",170 lbs.,"74.0""",Orthodox,1985-03-22,1,2,0,4.49,57%,3.73,62%,0.71,33%,88%,0.0,http://ufcstats.com/fighter-details/0641c21bec209472,188.0
Jason Jackson,"6' 1""",170 lbs.,"78.0""",Orthodox,1990-10-30,7,2,0,2.24,48%,1.31,56%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/ca8da445dfa82d56,185.4
Montel Jackson,"5' 10""",135 lbs.,"75.0""",Southpaw,1992-04-24,15,3,0,3.09,52%,1.4,61%,3.0,63%,67%,0.3,http://ufcstats.com/fighter-details/cc1a8b4b38b92c6d,177.8
Eric Jacob,,155 lbs.,,,,1,9,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/ba17afef01ed78b6,
Richard Jacobi,"6' 4""",260 lbs.,"75.0""",Orthodox,1993-09-28,6,1,1,0.88,44%,3.94,51%,3.28,100%,100%,0.0,http://ufcstats.com/fighter-details/46f557bd44da630e,193.0
Dustin Jacoby,"6' 3""",205 lbs.,"76.0""",Orthodox,1988-04-04,22,9,1,5.4,48%,3.92,57%,0.32,25%,62%,0.0,http://ufcstats.com/fighter-details/e4277e87a789d687,190.5
Justin James,"5' 10""",155 lbs.,,Orthodox,1976-11-08,13,7,0,1.34,36%,2.68,50%,0.0,0%,50%,1.6,http://ufcstats.com/fighter-details/1ea8df62b3f8fea6,177.8
Nate James,"6' 0""",185 lbs.,,,1978-05-29,14,8,1,1.33,42%,2.67,28%,0.0,0%,44%,0.0,http://ufcstats.com/fighter-details/a34fecf2f4e5a317,182.9
Virna Jandiroba,"5' 3""",115 lbs.,"64.0""",Orthodox,1988-05-30,22,4,0,2.33,41%,2.9,55%,2.85,37%,74%,1.5,http://ufcstats.com/fighter-details/7dda2cf308f24a02,160.0
Ryan Janes,"6' 3""",185 lbs.,"76.0""",Orthodox,1981-08-22,10,3,0,7.69,48%,5.53,59%,0.35,100%,58%,0.0,http://ufcstats.com/fighter-details/b59037262c8fe060,190.5
YunSeong Jang,"6' 0""",170 lbs.,"72.0""",Orthodox,2002-11-04,7,2,0,2.53,41%,4.13,51%,2.0,50%,90%,0.0,http://ufcstats.com/fighter-details/c7b0081edfef4bc7,182.9
Josh Janousek,"5' 11""",185 lbs.,,Orthodox,1980-09-25,8,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/8f7380fb0916dc77,180.3
Dave Jansen,"5' 9""",155 lbs.,"73.0""",Orthodox,1979-08-21,20,4,0,2.94,33%,3.67,58%,2.79,28%,38%,0.9,http://ufcstats.com/fighter-details/335ad945324c3a2e,175.3
Jaime Jara,"6' 1""",205 lbs.,,Southpaw,1969-08-02,38,18,0,2.2,60%,1.47,56%,0.0,0%,25%,0.0,http://ufcstats.com/fighter-details/805ad1801eb26abb,185.4
Gigo Jara,"5' 9""",145 lbs.,,,,6,9,0,2.26,57%,2.71,51%,0.0,0%,66%,0.0,http://ufcstats.com/fighter-details/99d5cf1eda8b25c1,175.3
Keith Jardine,"6' 2""",185 lbs.,"76.0""",Orthodox,1975-10-31,17,11,2,3.25,36%,2.98,59%,1.18,45%,62%,0.7,http://ufcstats.com/fighter-details/b9d0fd83bb8a147a,188.0
Brock Jardine,"5' 11""",170 lbs.,,Orthodox,1985-07-10,12,6,0,1.06,30%,3.34,56%,0.0,0%,14%,0.8,http://ufcstats.com/fighter-details/64959f90b6dd9759,180.3
Josh Jarvis,,,,,,1,4,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/32e8e0e8498f03c2,
Rony Jason,"5' 7""",145 lbs.,"73.0""",Orthodox,1984-03-21,14,7,0,2.04,44%,3.14,53%,0.59,30%,36%,0.8,http://ufcstats.com/fighter-details/b71ce838b01f2cad,170.2
Jasmine Jasudavicius,"5' 7""",125 lbs.,"68.0""",Orthodox,1989-03-01,14,4,0,3.7,45%,3.71,51%,2.59,44%,75%,0.6,http://ufcstats.com/fighter-details/a9e260472d321361,170.2
Louis Jauregui,"5' 7""",170 lbs.,,,,4,2,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/0e8744ded08ee5fb,170.2
Yazmin Jauregui,"5' 3""",115 lbs.,"64.0""",Orthodox,1999-02-28,11,2,0,6.64,39%,5.25,54%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/40cb680ae1cd331f,160.0
Justin Jaynes,"5' 7""",145 lbs.,"68.0""",Orthodox,1989-08-10,16,8,0,3.34,44%,5.33,62%,0.75,40%,20%,1.1,http://ufcstats.com/fighter-details/304a21d0595e1a08,170.2
Joanna Jedrzejczyk,"5' 6""",115 lbs.,"65.0""",Orthodox,1987-08-18,16,5,0,6.28,48%,3.25,62%,0.27,62%,80%,0.1,http://ufcstats.com/fighter-details/3d6749c4267da18f,167.6
Aaron Jeffery,"6' 2""",185 lbs.,"73.0""",Orthodox,1992-11-14,10,3,0,3.1,45%,4.46,34%,0.0,0%,50%,0.0,http://ufcstats.com/fighter-details/ccdcb20370be62a3,188.0
Trent Jenkins,"6' 2""",185 lbs.,,,,0,4,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/02fc8f50f56eb307,188.0
Bubba Jenkins,"5' 7""",145 lbs.,,,1988-02-05,11,4,0,2.41,37%,1.58,67%,7.23,68%,100%,0.0,http://ufcstats.com/fighter-details/5e841bb3752b6e86,170.2
Adrienna Jenkins,"5' 8""",145 lbs.,,,1981-07-22,19,6,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/dae85a6a83f53215,172.7
Brandon Jenkins,"6' 0""",155 lbs.,"71.0""",Switch,1991-09-30,15,9,0,2.93,41%,8.05,33%,0.0,0%,27%,0.0,http://ufcstats.com/fighter-details/6a8928652fc01bee,182.9
Jack Jenkins,"5' 7""",145 lbs.,"68.0""",Switch,1993-11-03,14,4,0,4.48,61%,2.95,59%,1.98,60%,71%,0.2,http://ufcstats.com/fighter-details/a9da3158dd2c2b5a,170.2
Steve Jennum,"5' 10""",215 lbs.,,Orthodox,1963-09-23,2,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/ad047e3073a775f3,177.8
Ryan Jensen,"6' 1""",185 lbs.,"76.0""",Orthodox,1977-09-20,21,8,0,2.84,39%,2.99,59%,1.55,50%,31%,1.9,http://ufcstats.com/fighter-details/aae99701b21554e4,185.4
Kyle Jensen,"5' 9""",170 lbs.,,Orthodox,1979-07-20,4,11,2,0.0,0%,0.92,60%,6.92,100%,0%,6.9,http://ufcstats.com/fighter-details/aec273fcb765330d,175.3
Chan-Mi Jeon,"5' 5""",115 lbs.,,Orthodox,1997-08-28,5,2,0,6.23,31%,7.77,55%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/24174a3f44ce8e03,165.1
Maciej Jewtuszko,"6' 0""",155 lbs.,,Southpaw,1981-01-31,12,3,0,2.29,45%,1.39,66%,0.0,0%,42%,0.9,http://ufcstats.com/fighter-details/6b5b9be990774f0e,182.9
Ronald Jhun,"5' 11""",170 lbs.,,Orthodox,1970-09-21,24,26,2,1.45,57%,3.01,50%,1.81,100%,100%,0.0,http://ufcstats.com/fighter-details/b9e871af730f826c,180.3
Baergeng Jieleyisi,"5' 9""",145 lbs.,"71.0""",Orthodox,1995-11-24,18,7,0,1.61,35%,2.62,52%,1.73,38%,78%,0.2,http://ufcstats.com/fighter-details/8677e67a75d65b8e,175.3
Gilbert Jimenez,,155 lbs.,,,,8,12,1,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/59d36ddfcb27b7dc,
Ramiro Jimenez,"5' 9""",145 lbs.,"73.0""",Southpaw,1999-01-16,11,0,0,14.22,65%,2.43,82%,5.2,100%,100%,0.0,http://ufcstats.com/fighter-details/1c02b964466c10e4,175.3
Art Jimmerson,"6' 1""",196 lbs.,,Orthodox,1963-08-04,0,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/a5c53b3ddb31cc7d,185.4
Ryan Jimmo,"6' 1""",205 lbs.,"73.0""",Orthodox,1981-11-27,19,5,0,3.12,66%,2.77,46%,0.45,28%,87%,0.0,http://ufcstats.com/fighter-details/bc3ec52ef70fc155,185.4
